policy_no,certi_no,year,保险合同收入_预期赔付与费用_含亏损,保险合同收入_预期赔付与费用_亏损分摊,保险合同收入_预期释放的非金融风险调整_含亏损,保险合同收入_预期释放的非金融风险调整_亏损分摊,保险合同收入_摊销的CSM,保险合同收入_摊销的IACF,保险合同收入_经验调整,赔付与费用_亏损分摊_预期现金流,赔付与费用_亏损分摊_非金融风险调整,赔付与费用_摊销的IACF,亏损合同损益_新增合同预期现金流_赔付与费用现金流_亏损,亏损合同损益_新增合同非金融风险调整_亏损,亏损合同损益_不调整CSM的预期现金流变动,亏损合同损益_不调整CSM的非金融风险调整变动,IFIE_P&L_未到期_预期现金流_非亏损,IFIE_P&L_未到期_预期现金流_亏损,IFIE_P&L_未到期_非金融风险调整_非亏损,IFIE_P&L_未到期_非金融风险调整_亏损,IFIE_P&L_未到期_CSM,IFIE_OCI_未到期_预期现金流_非亏损,IFIE_OCI_未到期_预期现金流_亏损,IFIE_OCI_未到期_非金融风险调整_非亏损,IFIE_OCI_未到期_非金融风险调整_亏损,未到期责任负债_预期现金流_非亏损,未到期责任负债_预期现金流_亏损,未到期责任负债_非金融风险调整_非亏损,未到期责任负债_非金融风险调整_亏损,未到期责任负债_CSM,未到期_调整CSM的预期现金流变动,未到期_调整CSM的非金融风险调整变动,未到期_调整CSM的估计变更,新增合同预期现金流_保费现金流_盈利合同,新增合同预期现金流_IACF_盈利合同,新增合同预期现金流_赔付与费用现金流_盈利合同,新增合同非金融风险调整_盈利合同,新增合同CSM_盈利合同,新增合同预期现金流_保费现金流_亏损合同,新增合同预期现金流_IACF_亏损合同,新增合同预期现金流_赔付与费用现金流_亏损合同_非亏损,新增合同非金融风险调整_亏损合同_非亏损,现金流_收到的保费,现金流_支付的获取费用
1440002000004501220240000001,,2024,107.58469591086617,0.0,3.227540877325985,0.0,-233.20519690214235,81.59920330082521,0.0,0.0,0.0,-81.59920330082521,0.0,0.0,0.0,0.0,12.276969688295827,0.0,0.3683090906488748,0.0,-9.144411933616418,59.38385210635635,0.0,1.7815155631906905,0.0,1352.487015344791,0.0,40.57461046034373,0.0,758.6982091940789,0.0,0.0,0.0,2751.0,347.07,1388.655745408749,41.65967236226247,973.6145822289884,0.0,0.0,0.0,0.0,2751.0,347.07
1440003000004501220230000001,,2023,54.50224273043654,0.0,1.6350672819130962,0.0,-108.64234379250658,46.21922915778498,0.0,0.0,0.0,-46.21922915778498,0.0,0.0,0.0,0.0,12.488543830530716,0.0,0.3746563149159215,0.0,-9.219435188924159,18.2735913953534,0.0,0.5482077418606021,0.0,649.5469819384856,0.0,19.48640945815457,0.0,382.46003843034924,0.0,0.0,0.0,1375.5,208.927502404066,673.6980444183753,20.210941332551258,472.6635118450075,0.0,0.0,0.0,0.0,1375.5,208.927502404066
1440003000004501220230000001,,2024,59.07834253921918,0.0,1.7723502761765755,0.0,-27.47143914220987,11.67442227173865,0.0,0.0,0.0,-11.67442227173865,0.0,0.0,0.0,0.0,20.090663231622834,0.0,0.602719896948685,0.0,-9.63319748101359,53.81175591096664,0.0,1.6143526773289993,0.0,645.6865121667729,0.0,19.370595365003187,0.0,355.4023615802288,37.15232321110001,0.0,37.15232321110001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1WGL2022022230422956,,2022,37.998158370987774,0.0,1.1399447511296332,0.0,-10.535619929210839,23.21340212042179,0.0,0.0,0.0,-23.21340212042179,59.663434777236496,0.0,0.0,0.0,2.9785458469020663,0.0,0.08935637540706198,0.0,-0.9984781093609041,0.3405121933702218,0.0,0.010215365801106654,0.0,165.8683627421846,0.0,4.976050882265538,0.0,51.12477106674746,59.663434777236496,0.0,59.663434777236496,283.02,135.857923948366,200.8014668241461,6.0240440047243835,0.0,0.0,0.0,0.0,0.0,283.02,135.857923948366
1WGL2022022230422956,,2023,41.33223775630084,0.0,1.2399671326890254,0.0,-27.074255873000777,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,0.0,0.0,0.0,6.4656095544115475,0.0,0.19396828663234644,0.0,-2.512802105714412,0.7030861325404081,0.0,0.02109258397621224,0.0,122.52814216552993,0.0,3.675844264965898,0.0,85.22827396733669,34.83919474511471,0.0,34.83919474511471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1WGL2022022230422956,,2024,41.33223775627764,0.0,1.2399671326883293,0.0,-39.19389102624284,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,0.0,0.0,0.0,5.811485875229015,0.0,0.17434457625687044,0.0,-2.975648197802766,1.3949864402512244,0.0,0.04184959320753673,0.0,85.68849633857543,0.0,2.570654890157263,0.0,83.84922588401132,35.463860847098445,0.0,35.463860847098445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1WGL2022022230422952,,2022,37.998158370987774,0.0,1.1399447511296332,0.0,-10.535619929210839,23.21340212042179,0.0,0.0,0.0,-23.21340212042179,59.663434777236496,0.0,0.0,0.0,2.9785458469020663,0.0,0.08935637540706198,0.0,-0.9984781093609041,0.3405121933702218,0.0,0.010215365801106654,0.0,165.8683627421846,0.0,4.976050882265538,0.0,51.12477106674746,59.663434777236496,0.0,59.663434777236496,283.02,135.857923948366,200.8014668241461,6.0240440047243835,0.0,0.0,0.0,0.0,0.0,283.02,135.857923948366
1WGL2022022230422952,,2023,41.33223775630084,0.0,1.2399671326890254,0.0,-27.074255873000777,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,0.0,0.0,0.0,6.4656095544115475,0.0,0.19396828663234644,0.0,-2.512802105714412,0.7030861325404081,0.0,0.02109258397621224,0.0,122.52814216552993,0.0,3.675844264965898,0.0,85.22827396733669,34.83919474511471,0.0,34.83919474511471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1WGL2022022230422952,,2024,41.33223775627764,0.0,1.2399671326883293,0.0,-39.19389102624284,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,0.0,0.0,0.0,5.811485875229015,0.0,0.17434457625687044,0.0,-2.975648197802766,1.3949864402512244,0.0,0.04184959320753673,0.0,85.68849633857543,0.0,2.570654890157263,0.0,83.84922588401132,35.463860847098445,0.0,35.463860847098445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1WGL2022022130422943,,2022,37.998158370987774,0.0,1.1399447511296332,0.0,-10.569387941804463,23.287804050294937,0.0,0.0,0.0,-23.287804050294937,59.663434777236496,0.0,0.0,0.0,2.9785458469020663,0.0,0.08935637540706198,0.0,-0.9984781093609041,0.3405121933702218,0.0,0.010215365801106654,0.0,165.8683627421846,0.0,4.976050882265538,0.0,51.09100305415384,59.663434777236496,0.0,59.663434777236496,283.02,135.857923948366,200.8014668241461,6.0240440047243835,0.0,0.0,0.0,0.0,0.0,283.02,135.857923948366
